@RELATION wada

@ATTRIBUTE mean_x numeric
@ATTRIBUTE std_x numeric
@ATTRIBUTE mean_y numeric
@ATTRIBUTE std_y numeric
@ATTRIBUTE mean_z numeric
@ATTRIBUTE std_z numeric
@ATTRIBUTE Activity {hand_wash,not_hand_wash}

@DATA
-6.31482,2.60999,-5.55818,1.40576,-2.98665,1.89451,not_hand_wash
-9.09952,2.36756,-1.72596,1.89413,0.24808,1.22092,not_hand_wash
-9.14349,2.05695,1.74831,1.43381,1.88153,0.93226,not_hand_wash
-7.59723,2.09480,-4.20141,1.76702,2.61407,1.53908,not_hand_wash
-9.23425,2.33989,-0.49446,1.35942,2.55113,1.20031,not_hand_wash
-8.18784,2.01429,-2.27915,0.57682,4.14237,1.14022,not_hand_wash
-7.90158,1.74802,-1.99645,0.57510,4.96833,1.11141,not_hand_wash
-8.18455,1.82153,-1.94337,0.47026,4.54371,1.02127,not_hand_wash
-8.29006,1.85948,-1.99817,0.47831,4.18487,0.95042,not_hand_wash
-8.30132,1.85789,-2.23801,0.51765,4.11695,0.93420,not_hand_wash
-8.23957,1.82094,-2.31606,0.55577,4.08179,0.90568,not_hand_wash
-8.42719,1.89396,-2.66191,0.70238,3.38586,0.74893,not_hand_wash
-8.34580,1.86847,-2.73989,0.63057,3.48130,0.80251,not_hand_wash
-8.10741,1.83067,-3.40456,0.88461,3.42880,0.79973,not_hand_wash
-8.21420,1.85489,-3.25124,0.81984,3.19654,0.80505,not_hand_wash
-8.57157,2.14908,-2.36215,0.72233,3.02812,0.73980,not_hand_wash
-8.68423,1.93964,-2.15454,0.48387,3.03309,0.68299,not_hand_wash
-6.34162,2.09700,-4.37828,2.13513,-2.00112,3.90892,not_hand_wash
-0.71024,1.87163,-4.44014,1.11306,-7.52728,1.65374,not_hand_wash
2.05655,0.75419,-5.32566,1.26304,-6.68458,1.52326,not_hand_wash
3.18790,0.73547,-5.01708,1.15954,-6.54016,1.49675,not_hand_wash
2.97172,0.73643,-4.43029,1.09965,-7.00978,1.65783,not_hand_wash
2.82769,0.64973,-4.77231,1.22924,-6.81514,1.56001,not_hand_wash
2.45043,0.58477,-5.19317,1.35606,-6.65091,1.55561,not_hand_wash
2.57463,0.58731,-4.59251,1.06460,-7.07406,1.57703,not_hand_wash
2.30118,0.57837,-6.02635,2.09339,-5.75351,1.82903,not_hand_wash
2.13024,0.57625,-6.34371,1.67761,-5.73734,1.53496,not_hand_wash
0.50366,0.52945,-5.36577,1.45565,-6.80020,1.83126,not_hand_wash
1.12738,0.95319,-6.22155,1.60388,-5.93658,1.42415,not_hand_wash
3.00140,0.80734,-7.29298,2.46658,-2.33765,3.67630,not_hand_wash
1.91415,0.73014,-8.40515,2.15598,2.77734,0.85346,not_hand_wash
2.51927,1.15209,-8.54490,2.11661,2.18410,1.22518,not_hand_wash
2.61537,0.73754,-8.52362,2.09506,1.88758,0.91551,not_hand_wash
1.85368,0.61411,-8.54982,2.04453,3.04595,0.81974,not_hand_wash
-2.27688,7.31694,-7.32453,3.07193,-0.46678,3.45481,not_hand_wash
-7.27985,6.59099,-5.85554,2.88224,-0.87832,2.66760,not_hand_wash
-0.73491,6.66881,-5.25740,8.19433,-8.28839,8.70323,not_hand_wash
-10.86648,7.88937,1.29061,4.93083,0.77840,2.88386,not_hand_wash
-1.67539,4.82060,0.86585,3.75900,7.43445,2.82646,not_hand_wash
-4.25326,6.89801,-3.21631,5.41221,2.20333,8.44411,not_hand_wash
-9.33832,2.72757,-4.91906,4.50783,-1.42307,2.63617,not_hand_wash
-11.38406,6.94685,-4.06440,5.20688,-0.69668,2.84559,not_hand_wash
-9.47896,2.76233,-3.87397,2.47462,-0.09467,1.52665,not_hand_wash
-9.84307,3.26079,-3.45760,3.16737,-1.80409,1.93433,not_hand_wash
-8.18914,5.34323,-4.69947,3.82521,1.83960,6.73272,not_hand_wash
3.36940,2.12191,-3.58604,1.03106,7.93648,1.93827,not_hand_wash
3.43671,2.53007,-6.00828,2.83514,2.10740,5.13343,not_hand_wash
1.98935,0.88127,-6.26481,1.58991,-5.76826,1.59234,not_hand_wash
0.73376,2.82765,-3.93372,4.62039,-6.53326,3.53185,not_hand_wash
-1.27818,3.29459,-7.18157,2.80916,-4.23592,4.65558,not_hand_wash
3.22751,0.81151,-8.31361,2.21959,-0.76156,0.54318,not_hand_wash
1.62371,1.52257,-8.83122,2.09668,-0.70518,0.89554,not_hand_wash
2.57599,0.73638,-8.76563,2.05267,-1.02388,0.77191,not_hand_wash
2.17721,0.94629,-8.68949,2.22715,0.33428,0.79504,not_hand_wash
3.41650,0.94043,-8.35633,2.07702,-0.44667,0.54486,not_hand_wash
-2.45681,8.09475,-6.23833,2.81181,0.25838,1.48039,not_hand_wash
-9.95645,4.02951,-3.25785,2.00457,-1.40530,2.94026,not_hand_wash
-7.34712,3.94165,-3.87008,4.37808,-5.78549,7.16846,not_hand_wash
1.73529,3.37003,-1.46383,9.80093,-9.44915,9.25793,not_hand_wash
0.02227,1.76827,-3.01605,4.28282,-8.43931,3.98123,not_hand_wash
1.04995,0.47806,0.33693,1.05091,-8.63892,2.26463,not_hand_wash
1.97920,0.72945,0.89023,1.29369,-8.20381,2.06165,not_hand_wash
-4.75783,2.90008,-1.57347,4.32306,-7.15751,2.90379,not_hand_wash
2.37725,3.10750,-5.42225,4.10294,5.60557,2.68452,not_hand_wash
3.30634,4.53502,6.20034,9.53526,0.48117,8.40717,not_hand_wash
1.86578,2.21634,7.62341,5.16850,4.64284,3.82082,not_hand_wash
2.38349,1.83170,6.32694,2.03199,6.77360,2.64868,not_hand_wash
3.14992,0.95967,5.76094,1.51088,7.41716,1.95052,not_hand_wash
0.90097,0.36645,9.14329,2.11472,2.98633,1.11907,not_hand_wash
3.05048,3.30702,6.33937,6.53420,0.42779,1.99447,not_hand_wash
-0.44332,3.66859,6.21555,4.17033,8.11622,3.13083,not_hand_wash
2.22267,0.63831,5.21317,1.22805,8.13087,1.85534,not_hand_wash
2.69693,0.62465,5.18204,1.28160,8.29196,1.86859,not_hand_wash
1.55874,0.54991,6.31319,1.61516,7.09133,1.85593,not_hand_wash
1.21488,0.99487,7.67506,1.85197,5.57785,2.35616,not_hand_wash
0.50845,0.78240,8.90061,2.05655,4.22971,1.37735,not_hand_wash
0.55738,0.15359,8.58708,1.91785,4.70490,1.05670,not_hand_wash
0.60971,0.17188,8.68088,1.95451,4.54098,1.02884,not_hand_wash
0.51073,0.15667,8.74419,1.95105,4.45242,0.99793,not_hand_wash
0.46090,0.13550,8.73246,1.94690,4.47415,1.00050,not_hand_wash
0.37651,0.19585,8.62131,1.93351,4.72138,1.08016,not_hand_wash
0.32468,0.16701,8.19189,1.86301,5.47915,1.24927,not_hand_wash
0.49741,0.17584,8.43632,1.88294,5.06254,1.13527,not_hand_wash
0.44352,0.20724,8.57843,1.91710,4.79298,1.07502,not_hand_wash
0.38352,0.35532,8.44803,2.11110,4.80760,1.20601,not_hand_wash
0.31836,0.10611,8.33820,1.86794,5.27432,1.18228,not_hand_wash
0.32375,0.11400,8.35842,1.86070,5.22132,1.17353,not_hand_wash
0.23235,0.08513,8.41535,1.87275,5.09623,1.13518,not_hand_wash
0.28629,0.08890,8.41505,1.88190,5.12216,1.14855,not_hand_wash
0.32869,0.09827,8.40640,1.87284,5.12561,1.14182,not_hand_wash
0.38001,0.13022,8.48641,1.89430,4.97484,1.10735,not_hand_wash
0.44390,0.13353,8.41276,1.88940,5.10317,1.19322,not_hand_wash
0.44744,0.12073,8.64155,1.93442,4.65643,1.05256,not_hand_wash
0.47670,0.29307,8.73032,1.83728,4.62091,0.84657,not_hand_wash
5.41083,3.96125,5.21863,4.65687,-1.43260,2.22485,not_hand_wash
-0.87686,7.64826,5.96511,5.02870,0.93408,2.82343,not_hand_wash
-2.13759,2.72560,3.14653,6.31719,5.80925,6.24131,not_hand_wash
1.52713,2.67370,-2.05505,7.43819,6.76331,3.43994,not_hand_wash
3.11433,2.63782,6.79797,2.79508,4.66423,2.49899,not_hand_wash
7.11649,1.73977,6.40218,1.51787,0.91409,0.82755,not_hand_wash
6.54226,1.52958,6.71576,1.53224,1.78618,0.53825,not_hand_wash
6.81227,1.51191,6.54977,1.46205,1.46363,0.38258,not_hand_wash
6.82151,1.52004,6.54849,1.46600,1.42086,0.35758,not_hand_wash
6.84673,1.53361,6.56191,1.48983,1.20586,0.39808,not_hand_wash
7.08082,1.61087,6.18277,1.43084,1.54918,0.61468,not_hand_wash
7.23209,1.60100,6.11246,1.37260,1.18467,0.29454,not_hand_wash
7.12491,2.13497,6.20994,1.29194,0.94581,0.59273,not_hand_wash
-0.80294,4.48039,1.90182,5.06131,6.30881,3.40141,not_hand_wash
-2.75654,1.28416,-0.28927,2.61864,9.25567,3.01264,not_hand_wash
-2.84954,0.71528,1.56651,1.05072,9.30474,2.16720,not_hand_wash
-2.87454,0.82173,1.78010,1.01927,9.31155,2.20344,not_hand_wash
-2.98004,0.54698,1.77464,0.47460,9.28850,2.11126,not_hand_wash
-2.98046,1.23648,-0.87324,2.81540,8.98441,1.75508,not_hand_wash
